Month,Year,State Name (state_name),State Code (state_code),Port for Import (port),Import Country (country),Principle Commodity Code (pc_code),Commodity Name (commodity),Quantity Unit Measurement (units),Value of commodity quantity (quantity),Value of commodity quantity in USD (dollars_value),Value of commodity quantity in INR (inr_value)
6,2020,Tamil Nadu,33,Sipct Ele Hw Hite Sez Oragadam,U A E,L5,"Aluminium, Products Of Aluminm",Ton,0,125,9482
12,2018,Uttar Pradesh,9,Sez Moradabad,Baharain Is,L5,"Aluminium, Products Of Aluminm",Ton,114,289500,20476627
1,2019,Tamil Nadu,33,Chennai Air,France,N1,"Ac, Refrigeration Machnry Etc",None,0,451940,31967004
9,2022,Maharashtra,27,Cfs Nashik,U A E,D5,Misc Processed Items,None,0,44639,3581424
10,2019,Kerala,32,Cochin Sea,China,Q3,"Manmade Yarn,Fabrics,Madeups",None,0,340015,24154442
8,2018,Telangana,36,Lanco Hills Tech Prk Manikonda,Korea,N6,Dairy Machinery,None,0,26231,1824240
4,2022,Delhi,7,Delhi Air,Thailand,L4,Products Of Iron And Steel,None,0,95544,7277409
4,2020,Karnataka,29,Icd Bangalore,Thailand,I9,Othr Rubber Prodct Excpt Footw,None,0,169163,12896424
5,2019,Maharashtra,27,Serum Bio Pharm Park  Sez Pune,U S A,M6,"Hnd Tool, Cttng Tool Of Metals",None,0,606,42269
12,2020,West Bengal,19,Petrapole Land,Bangladesh,P8,Cotton Textiles,None,0,5179042,381144359
3,2018,Kerala,32,Cochin Sea,China,O5,Motor Vehicle/Cars,Nos,3,22871,1487132
2,2024,West Bengal,19,Kolkata Sea,U K,M2,Oth Non Ferous Metal And Prodc,None,0,119391,9905054
4,2018,Tamil Nadu,33,Flextronics Techn Sez  Sriperu,China,I7,Residul Chemicl And Alled Prod,None,0,21904,1437717
4,2018,Maharashtra,27,Seepz,Italy,L6,Copper And Prdcts Made Of Copr,None,0,70770,4645084
12,2020,Uttar Pradesh,9,Cfs Albatross/Icd Dadri,Italy,N6,Dairy Machinery,None,0,103874,7644476
7,2018,Gujarat,24,Icd Sabarmati,Belgium,Q3,"Manmade Yarn,Fabrics,Madeups",None,0,885,60811
12,2018,Tamil Nadu,33,Chennai Air,China,L5,"Aluminium, Products Of Aluminm",Ton,86,7865998,556370698
3,2022,Andhra Pradesh,28,Kakinada Sea,Singapore,N7,ATM & Molding Machinery,Kgs,40934,1092176,83272424
12,2021,Uttar Pradesh,9,Cgml Dadri,China,L6,Copper And Prdcts Made Of Copr,None,0,616038,46432291
11,2021,West Bengal,19,Kolkata Air,U S A,I7,Residul Chemicl And Alled Prod,None,0,12865,958365
3,2024,Tamil Nadu,33,Chennai Sea,Sri Lanka,Q3,"Manmade Yarn,Fabrics,Madeups",None,0,29874,2479481
6,2018,Karnataka,29,Icd Bangalore,New Zealand,N7,ATM & Molding Machinery,None,0,39427,2672897
10,2019,Tamil Nadu,33,Kattupalli Port/ Tiruvallur,China,N1,"Ac, Refrigeration Machnry Etc",None,0,811169,57624929
3,2022,Telangana,36,Icd Hyderabad,China,L5,"Aluminium, Products Of Aluminm",Ton,57,374036,28518210
2,2024,Maharashtra,27,Nhava Sheva Sea,Switzerland,N7,ATM & Molding Machinery,Kgs,11,1525,126547
5,2018,Gujarat,24,Mundra,Vietnam,M1,Zinc And Products Made Of Zinc,Ton,164,479203,32365112
