Month (month),State Name (state_name),State Code (state_code),Port for Import (port),Import Country (country),Principle Commodity Code (pc_code),Commodity Name (commodity),Quantity Unit Measurement (units),Value of commodity quantity (quantity),Value of commodity quantity in USD (dollars_value),Value of commodity quantity in INR (inr_value)
01-04-23,Gujarat,24,Sez Mundra,Netherland,I5,Cosmetics And Toiletries,Kgs,9000,1046964,85872798
01-05-21,Kerala,32,Sez Cochin,Indonesia,P2,Electronics Components,None,0,1880,137750
01-04-19,Tamil Nadu,33,Sipct Ele Hw Hite Sez Oragadam,Netherland,O1,Other Misc. Engineering Items,None,0,58253,4044373
01-01-22,Maharashtra,27,Mumbai Air,Vietnam Soc Rep,N4,Electric Machinery And Equipme,None,0,55447,4127558
01-02-18,West Bengal,19,Kolkata Air,Korea Rp,L6,Copper And Prdcts Made Of Copr,None,0,11840,762200
01-12-23,Rajasthan,8,Jaipur A.C.,U S A,G9,Gold And Oth Precs Metl Jwlery,Kgs,35242,527615,43939011
01-10-21,Haryana,6,Icd Faridabad,China P Rp,I2,Inorganic Chemicals,Kgs,104000,49724,3725059
01-11-18,Karnataka,29,Icd Bangalore,Sri Lanka Dsr,J1,Footwear Of Rubber/Canvas Etc.,None,0,15834,1137704
01-03-22,Tamil Nadu,33,Chennai Air,Japan,E4,Floricltr Products,Kgs,6,1302,99254
01-10-19,Maharashtra,27,Mumbai Air,Hong Kong,I4,Other Miscellaenious Chemicals,Kgs,4,1840,130741
01-12-22,Gujarat,24,Ahmedabad Air Cargo Complex,U S A,H5,"Bulk Drugs, Drug Intermediates",Kgs,93,92073,7592743
01-12-22,Delhi,7,Cfs Patparganj,Denmark,ZZ,Other Commodities,None,0,13448,1108989
01-05-20,Telangana,36,Hyderabad Airport,U S A,E6,Alcoholic Beverages,Ltr,840,17553,1328061
01-07-24,West Bengal,19,Kolkata Air,Germany,H1,Sports Goods,None,0,9302,777593
01-12-23,Maharashtra,27,Mumbai Sea,China P Rp,F3,"Granit, Natrl Stone And Prodct",Kgs,288,214,17860
01-05-22,Maharashtra,27,Nhava Sheva Sea,Russia,K1,Plywood And Allied Products,None,0,652323,50437134
01-08-22,Haryana,6,Icd Garhiharsaru,Korea Rp,N7,"Atm, Injctng Mlding Mchnry Etc",Kgs,82850,1142898,90923250
01-12-20,Karnataka,29,Icd Bangalore,Sweden,M3,Auto Components/Parts,None,0,30864,2271368
01-11-23,Maharashtra,27,Nhava Sheva Sea,Indonesia,I3,Organic Chemicals,Kgs,4724174,6503015,541688122
01-04-18,Karnataka,29,Biocon Ltd Sez Karnataka,U S A,S1,Handcrfs(Excl.Handmade Crpts),None,0,770,50534
01-05-20,Maharashtra,27,Icd Borkhedi,Unspecified,S4,Cotton Raw Incld. Waste,Ton,25,19373,1465752
01-06-23,Gujarat,24,Mundra,Romania,K2,Other Wood And Wood Products,None,0,27908,2294954
01-02-22,Tamil Nadu,33,Chennai Air,Korea Rp,I5,Cosmetics And Toiletries,Kgs,294,21556,1616740
01-08-23,Telangana,36,Hyderabad Airport,U K,N3,"Cranes, Lifts And Winches",None,0,2927,242343
01-09-18,Tamil Nadu,33,Chennai Air,Italy,F3,"Granit, Natrl Stone And Prodct",Kgs,47,9339,674436
01-01-20,Tamil Nadu,33,Chennai Sea,China P Rp,L4,Products Of Iron And Steel,None,0,16762421,1195391973
01-12-22,West Bengal,19,Kolkata Air,U K,S1,Handcrfs(Excl.Handmade Crpts),None,0,7020,578927
01-06-24,Rajasthan,8,Icd Kanakpura,Thailand,K1,Plywood And Allied Products,None,0,112083,9355709
01-02-20,Maharashtra,27,Nhava Sheva Sea,U S A,M7,Machine Tools,None,0,2862450,204632226
01-06-18,West Bengal,19,Kolkata Air,France,I7,Residul Chemicl And Alled Prod,None,0,1682,114016
01-02-21,Kerala,32,Cochin Sea,Vietnam Soc Rep,J5,Ceramics And Allied Products,None,0,67045,4877961
01-04-18,Tamil Nadu,33,Chennai Sea,Canada,N5,Ic Engines And Parts,None,0,7340241,481786245
01-11-19,Delhi,7,Delhi Air,Japan,F6,Other Crude Minerals,Kgs,403,7750,553779
01-01-19,Delhi,7,Delhi Air,Czech Republic,N6,Indl. Machnry For Dairy Etc,None,0,19031,1346101
01-10-20,Gujarat,24,"Hazira Port, Surat",Italy,L3,Iron And Steel,Ton,70,165493,12156817
01-11-18,Delhi,7,Delhi (Icd),Spain,F4,Processed Minerals,Kgs,25000,7999,574777
01-07-24,Maharashtra,27,Mumbai Air,Turkey,I7,Residul Chemicl And Alled Prod,None,0,12355,1032795
01-01-19,Delhi,7,Delhi Air,Hong Kong,I4,Other Miscellaenious Chemicals,Kgs,1,26189,1852399
01-03-24,Tamil Nadu,33,Chennai Sea,Taiwan,O9,"Computer Hardware, Peripherals",None,0,10857908,901180238
01-06-22,Andhra Pradesh,28,Ramki Pharma City (India) Pvt,Belgium,I7,Residul Chemicl And Alled Prod,None,0,18,1424
01-01-19,Maharashtra,27,Seepz,Switzerland,K9,"Plastc Sht, Film, Plts Etc",Kgs,1,1278,90422
01-12-23,Kerala,32,Trivandrum Airport,Japan,O3,Pumps Of All Types,None,0,3920,326424
01-11-21,Tamil Nadu,33,Chennai Epz,U S A,O2,Prime Mica And Mica Products,None,0,16605,1237029
01-01-21,Delhi,7,Cfs Patparganj,Germany,O1,Other Misc. Engineering Items,None,0,486906,35597369
01-06-20,Tamil Nadu,33,Sipct Ele Hw Hite Sez Oragadam,U Arab Emts,L5,"Aluminium, Products Of Aluminm",Ton,0,125,9482
01-03-24,Delhi,7,Cfs Patparganj,China P Rp,O2,Prime Mica And Mica Products,None,0,680379,56469838
01-12-18,Uttar Pradesh,9,Sez Moradabad,Baharain Is,L5,"Aluminium, Products Of Aluminm",Ton,114,289500,20476627
01-03-23,Punjab,3,"Icd Sahnewal, Grfl",Sri Lanka Dsr,N2,Bicycle And Parts,None,0,60939,5014561
01-01-19,Tamil Nadu,33,Chennai Air,France,N1,"Ac, Refrigeration Machnry Etc",None,0,451940,31967004
01-11-20,Karnataka,29,Icd Bangalore,Spain,O1,Other Misc. Engineering Items,None,0,13430,996784
