Month (month),State Name (state_name),State Code (state_code),Port for Import (port),Import Country (country),Principle Commodity Code (pc_code),Commodity Name (commodity),Quantity Unit Measurement (units),Value of commodity quantity (quantity),Value of commodity quantity in USD (dollars_value),Value of commodity quantity in INR (inr_value)
01-04-19,Haryana,6,Icd Garhiharsaru,Japan,H9,Agro Chemicals,Kgs,2700,20770,1441990
01-04-20,Tamil Nadu,33,Chennai Sea,U K,N1,"Ac, Refrigeration Machnry Etc",None,0,12527,955042
01-03-19,Maharashtra,27,Mumbai Sea,Hong Kong,L3,Iron And Steel,Ton,1030,2211598,153658752
01-09-19,Tamil Nadu,33,Suzlon Ap Infra Sez Coimbatore,China P Rp,M2,Oth Non Ferous Metal And Prodc,None,0,23,1655
01-11-18,Kerala,32,Sez Cochin,Switzerland,M8,Medical And Scientific Instrum,None,0,6666,479001
01-10-21,Maharashtra,27,Mumbai Air,Czech Republic,H7,Dyes,Kgs,300,35580,2665466
01-08-21,Tamil Nadu,33,Tuticorin Sea,Australia,L3,Iron And Steel,Ton,43,23496,1743052
01-07-19,Telangana,36,Hyderabad Airport,Ukraine,H8,"Drug Formulations, Biologicals",Kgs,0,1520,104616
01-01-21,Karnataka,29,Bangalore Airport,Turkey,N6,Indl. Machnry For Dairy Etc,None,0,54419,3978545
01-10-19,Maharashtra,27,Mumbai Air,Korea Rp,K6,Moulded And Extruded Goods,None,0,110843,7874237
01-02-22,Tamil Nadu,33,Ennore Sea,China P Rp,P3,Electronics Instruments,None,0,1072015,80404446
01-12-22,Maharashtra,27,Nhava Sheva Sea,U Arab Emts,O3,Pumps Of All Types,None,0,1047760,86402612
01-05-23,Gujarat,24,Sez Dahej,Russia,I7,Residul Chemicl And Alled Prod,None,0,35816,2949216
01-09-18,Maharashtra,27,Nhava Sheva Sea,Belgium,L5,"Aluminium, Products Of Aluminm",Ton,406,1816344,131167857
01-08-19,Haryana,6,Icd Samalkha Panipat,France,K8,Plastic Raw Materials,Ton,3,11969,851539
01-07-21,Haryana,6,Icd Piyala Ballagarh,Norway,L3,Iron And Steel,Ton,49,81552,6077801
01-04-24,Gujarat,24,Pipavab(Vicyor),China P Rp,F2,Bulk Minerals And Ores,Kgs,866400,107593,8973924
01-05-18,Karnataka,29,Bangalore Airport,Romania,L4,Products Of Iron And Steel,None,0,354,23921
01-01-23,West Bengal,19,Kolkata Air,Sweden,K4,Optical Items (Incl.Lens Etc),None,0,116,9492
01-06-19,Gujarat,24,Epz/Sez Surat,Italy,O1,Other Misc. Engineering Items,None,0,51824,3598575
01-02-22,Andhra Pradesh,28,Apiic Limited(Naidupeta),Italy,L4,Products Of Iron And Steel,None,0,14756,1106752
01-01-19,Maharashtra,27,Icd Tumb,Vietnam Soc Rep,F4,Processed Minerals,Kgs,613000,30747,2174829
01-12-19,Delhi,7,Delhi Air,Spain,K6,Moulded And Extruded Goods,None,0,43934,3127795
01-06-23,Uttar Pradesh,9,Icd Pakwara Moradabad/Meerut,Spain,K8,Plastic Raw Materials,Ton,109,51559,4239924
01-09-22,West Bengal,19,Kolkata Air,U Arab Emts,M6,"Hnd Tool, Cttng Tool Of Metals",None,0,3144,252223
